job_id,title,company_size,industry,city,province,work_type,experience_level,salary_cad,skills_required,degree_req,posted_date,source
CA-0001,Business Analyst,Mid (50-500),Financial Services,Calgary,Alberta,On-site,Mid Level (2-5 yrs),74000,SQL; Excel; Python; Tableau; R,Masters Preferred,2024-09-22,Indeed
CA-0002,Business Analyst,Mid (50-500),Technology,Calgary,Alberta,Hybrid,Mid Level (2-5 yrs),72000,SQL; Python; Power BI,Masters Preferred,2024-10-09,LinkedIn
CA-0003,Senior Data Analyst,Large (500+),Government,Vancouver,British Columbia,Hybrid,Mid Level (2-5 yrs),104000,SQL; Excel; Tableau; SQL Server; R; Git; Power Query,Bachelors Preferred,2025-02-05,Indeed
CA-0004,HR Data Analyst,Large (500+),Technology,Vancouver,British Columbia,Hybrid,Mid Level (2-5 yrs),66000,SQL; Excel; Tableau; Git; Snowflake,Bachelors Required,2024-02-06,Company Website
CA-0005,Senior Data Analyst,Large (500+),Energy,Toronto,Ontario,On-site,Entry Level (0-2 yrs),112000,SQL; Excel; Python; DAX; Power Query,Not Specified,2024-04-30,Indeed
CA-0006,Junior Data Analyst,Large (500+),Financial Services,Calgary,Alberta,Hybrid,Mid Level (2-5 yrs),64000,SQL; Excel; Python; Power BI; Tableau; SQL Server; Azure; Jira,Bachelors Preferred,2023-11-21,Indeed
CA-0007,Business Intelligence Analyst,Mid (50-500),Manufacturing,Toronto,Ontario,On-site,Mid Level (2-5 yrs),,SQL; Python; Tableau; SQL Server,Bachelors Required,2024-04-02,Indeed
CA-0008,Senior Data Analyst,Mid (50-500),Energy,Toronto,Ontario,On-site,Senior Level (5+ yrs),104000,SQL; Excel; Python; Power BI; Tableau; Jira; Git; Spark,Masters Preferred,2024-07-25,Glassdoor
CA-0009,Business Intelligence Analyst,Small (<50),Government,Toronto,Ontario,Hybrid,Senior Level (5+ yrs),89000,SQL; Python; SQL Server; DAX,Bachelors Preferred,2024-02-15,Job Bank
CA-0010,Junior Data Analyst,Large (500+),Financial Services,Calgary,Alberta,Hybrid,Mid Level (2-5 yrs),66000,Excel; Python; Power BI; Jira,Not Specified,2025-03-17,LinkedIn
CA-0011,Business Intelligence Analyst,Mid (50-500),Technology,Waterloo,Ontario,Hybrid,Mid Level (2-5 yrs),,SQL; Excel; Tableau; Azure; DAX; Power Query,Bachelors Preferred,2024-05-29,LinkedIn
CA-0012,Data Analyst,Mid (50-500),Financial Services,Toronto,Ontario,Hybrid,Senior Level (5+ yrs),77000,SQL; Excel; Python; SQL Server; Azure; Jira,Bachelors Preferred,2023-11-02,Job Bank
CA-0013,Business Intelligence Analyst,Small (<50),Energy,Vancouver,British Columbia,Remote,Mid Level (2-5 yrs),88000,SQL; Python; Power BI; Tableau; Azure; R; Jira; DAX,Not Specified,2024-05-26,Indeed
CA-0014,Senior Data Analyst,Large (500+),Government,Montreal,Quebec,Hybrid,Mid Level (2-5 yrs),105000,SQL; Excel; Power BI; Tableau; SQL Server; Git; Power Query,Bachelors Required,2024-03-12,LinkedIn
CA-0015,Data Analyst,Mid (50-500),Technology,Calgary,Alberta,Hybrid,Entry Level (0-2 yrs),,SQL; Excel; Python; Tableau; DAX,Bachelors Preferred,2024-05-14,Company Website
CA-0016,Operations Analyst,Large (500+),Telecommunications,Waterloo,Ontario,Remote,Senior Level (5+ yrs),68000,SQL; Power BI,Bachelors Required,2025-03-21,Glassdoor
